Event Number,District,Time Received,Time Dispatched,SHIFT,CALLCODE,Call Code Description 1,Call Type,Priority,UNIT ID,Address,lat,lon
14-237822,S,11/02/2014 12:57:42,11/02/2014 12:59:00,2,D21.00,HYDRANT PARKING VIOLATION,PH,7,S602,"212 Bartholdi Ave, Jersey City, New Jersey, USA",40.6992341041925,-74.0987254694025
14-237862,N,11/02/2014 13:54:48,11/02/2014 13:56:00,2,D21.00,HYDRANT PARKING VIOLATION,PH,7,N202,"315 Sherman Ave, Jersey City, New Jersey, USA",40.750563125,-74.043428625
14-237902,N,11/02/2014 15:02:21,11/02/2014 15:03:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,N103,"26.28 Manhattan Ave, Jersey City, New Jersey, USA",40.747064,-74.0621143
14-238117,S,11/02/2014 20:21:10,11/02/2014 20:22:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,S403,"Wegman Ct & Garfield Ave, Jersey City, New Jersey, USA",,
14-238199,N,11/02/2014 23:16:34,11/02/2014 23:17:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,N501,"18 Magnolia Ave, Jersey City, New Jersey, USA",40.7285831304348,-74.0559098695652
14-241501,N,11/08/2014 00:23:11,11/08/2014 00:24:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,N201,"Bleecker St & Terrace Ave, Jersey City, New Jersey, USA",,
14-242500,S,11/09/2014 12:45:13,11/09/2014 12:46:00,2,D21.00,HYDRANT PARKING VIOLATION,PH,7,S402,"388 Princeton Ave, Jersey City, New Jersey, USA",40.6927827647059,-74.0875690588235
14-242888,W,11/10/2014 00:52:18,11/10/2014 00:55:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,W501,"24 Bentley Ave, Jersey City, New Jersey, USA",40.71996975,-74.07474425
14-243518,S,11/11/2014 02:39:50,11/11/2014 02:41:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,S601,"6 Catherine Ct, Jersey City, New Jersey, USA",40.6889779583333,-74.0967497916667
14-243540,S,11/11/2014 06:26:02,11/11/2014 06:27:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,S401,"194 Linden Ave, Jersey City, New Jersey, USA",40.6977877142857,-74.0936304285714
14-244774,S,11/12/2014 23:00:18,11/12/2014 23:01:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,S101,"Linden Ave & Kennedy Blvd, Jersey City, New Jersey, USA",,
14-246521,S,11/15/2014 16:39:45,11/15/2014 16:40:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,SP13,"Country Village Rd & Exeter Rd, Jersey City, New Jersey, USA",,
14-246668,W,11/15/2014 20:28:24,11/15/2014 20:29:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,W303,"380 Union St, Jersey City, New Jersey, USA",40.7190194814815,-74.0846545308642
14-246843,S,11/16/2014 01:44:58,11/16/2014 01:46:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,S401,"302 Stegman Pkwy, Jersey City, New Jersey, USA",40.7086402727273,-74.0894658636364
14-247040,E,11/16/2014 11:28:18,11/16/2014 11:29:00,2,D21.00,HYDRANT PARKING VIOLATION,PH,7,E202,"270 3rd St, Jersey City, New Jersey, USA",40.72350325,-74.04640925
14-247076,W,11/16/2014 12:32:41,11/16/2014 12:34:00,2,D21.00,HYDRANT PARKING VIOLATION,PH,7,W102,"298 Ege Ave, Jersey City, New Jersey, USA",40.7172502553192,-74.087694106383
14-247221,E,11/16/2014 16:37:04,11/16/2014 16:38:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,E303,"80 Colgate St, Jersey City, New Jersey, USA",40.7232822142857,-74.0523023571428
14-247248,E,11/16/2014 17:22:12,11/16/2014 17:24:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,E303,"80 Colgate St, Jersey City, New Jersey, USA",40.7232822142857,-74.0523023571428
14-247373,W,11/16/2014 20:43:46,11/16/2014 20:45:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,W203,"53 Fairview Ave, Jersey City, New Jersey, USA",40.7226562666667,-74.0707294666667
14-247466,W,11/17/2014 01:07:28,11/17/2014 01:08:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,W401,"24 Bentley Ave, Jersey City, New Jersey, USA",40.71996975,-74.07474425
14-248186,W,11/17/2014 22:44:57,11/17/2014 22:49:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,W203,"32.34 Gardner Ave, Jersey City, New Jersey, USA",40.720709,-74.0704579
14-248840,N,11/18/2014 22:38:30,11/18/2014 22:40:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,N301,"427 Palisade Ave, Jersey City, New Jersey, USA",40.7432774285714,-74.0448665714286
14-251566,S,11/23/2014 05:33:24,11/23/2014 05:34:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,S501,"Van Nostrand Ave & Bergen Ave, Jersey City, New Jersey, USA",,
14-251678,S,11/23/2014 11:42:27,11/23/2014 11:44:00,2,D21.00,HYDRANT PARKING VIOLATION,PH,7,S402,"32 Grieco Dr, Jersey City, New Jersey, USA",40.7013848,-74.0977589
14-252008,E,11/23/2014 20:54:09,11/23/2014 20:55:00,3,D21.00,HYDRANT PARKING VIOLATION,SI,7,EPSGT,"372 2nd St, Jersey City, New Jersey, USA",40.7230554,-74.0499346
14-254138,N,11/26/2014 22:36:02,11/26/2014 22:37:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,N603,"227 Terrace Ave, Jersey City, New Jersey, USA",40.7541573076923,-74.0552093846154
14-254164,N,11/27/2014 00:01:27,11/27/2014 00:02:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,E201,"106 Bleecker St, Jersey City, New Jersey, USA",40.7517695,-74.051722
14-254164,N,11/27/2014 00:01:27,11/27/2014 00:02:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,N201,"106 Bleecker St, Jersey City, New Jersey, USA",40.7517695,-74.051722
14-254651,N,11/28/2014 01:09:48,11/28/2014 01:11:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,N201,"32 Charles St, Jersey City, New Jersey, USA",40.7485137692308,-74.0493435384615
14-254708,W,11/28/2014 04:47:12,11/28/2014 04:48:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,W501,"Mallery Ave (mallory Ave) & Clarke Ave, Jersey City, New Jersey, USA",,
14-255184,W,11/28/2014 20:47:54,11/28/2014 20:48:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,W303,"125 Clarke Ave, Jersey City, New Jersey, USA",40.7184293571429,-74.0918487142857
14-255706,E,11/29/2014 19:38:26,11/29/2014 19:39:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,E103,"270 3rd St, Jersey City, New Jersey, USA",40.72350325,-74.04640925
14-255770,N,11/29/2014 21:48:03,11/29/2014 21:49:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,N403,"241 Sherman Ave, Jersey City, New Jersey, USA",40.7490146666667,-74.0444233333333
14-255802,W,11/29/2014 22:39:40,11/29/2014 22:42:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,W301,"Sackett St & Oxford Ave, Jersey City, New Jersey, USA",,
14-256220,N,11/30/2014 17:54:43,11/30/2014 17:55:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,N603,"200 Congress St, Jersey City, New Jersey, USA",40.7523777142857,-74.0493372142857
14-256280,S,11/30/2014 19:24:34,11/30/2014 19:25:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,S203,"Mlk (martin Luther King Dr) & Armstrong Ave, Jersey City, New Jersey, USA",,
14-256384,W,11/30/2014 22:32:13,11/30/2014 22:33:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,W603,"Van Reypen St & Stuyvesant Ave, Jersey City, New Jersey, USA",,
14-257782,N,12/03/2014 03:12:40,12/03/2014 03:13:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,N601,"160 Leonard St, Jersey City, New Jersey, USA",40.757791,-74.050108
14-258265,S,12/03/2014 22:55:20,12/03/2014 22:56:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,S101,"35 Briarwood Rd, Jersey City, New Jersey, USA",40.6965969130435,-74.1047202173913
14-259701,W,12/06/2014 00:17:30,12/06/2014 00:18:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,W601,"298 Ege Ave, Jersey City, New Jersey, USA",40.7172502553192,-74.087694106383
14-259727,N,12/06/2014 01:23:53,12/06/2014 01:25:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,N101,"118 Zabriskie St, Jersey City, New Jersey, USA",40.7473764285714,-74.0547958809524
14-260149,N,12/06/2014 17:46:41,12/06/2014 17:48:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,3,N103,"367 Central Ave, Jersey City, New Jersey, USA",40.7477381428571,-74.0482548571429
14-260934,N,12/07/2014 23:11:11,12/07/2014 23:12:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,N301,"118 Zabriskie St, Jersey City, New Jersey, USA",40.7473764285714,-74.0547958809524
14-261033,S,12/08/2014 06:47:09,12/08/2014 06:48:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,S601,"222 Mcadoo Ave, Jersey City, New Jersey, USA",40.7066322682927,-74.0965633170732
14-261513,W,12/08/2014 18:11:35,12/08/2014 18:13:00,3,D21.00,HYDRANT PARKING VIOLATION,SI,7,W103,"213 Mallory Ave, Jersey City, New Jersey, USA",40.7216332736099,-74.0864097344302
14-262996,N,12/10/2014 23:41:01,12/10/2014 23:42:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,N101,"Bleecker St & Terrace Ave, Jersey City, New Jersey, USA",,
14-263531,E,12/11/2014 21:44:21,12/11/2014 21:45:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,E403,"140 Bay St, Jersey City, New Jersey, USA",40.72086795,-74.0391314267466
14-264259,N,12/13/2014 00:27:20,12/13/2014 00:28:00,1,D21.00,HYDRANT PARKING VIOLATION,SI,7,N101,"108 Charles St, Jersey City, New Jersey, USA",40.7497491730769,-74.0524639615385
14-264700,W,12/13/2014 17:51:11,12/13/2014 17:53:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,WK99E,"114 Lexington Ave, Jersey City, New Jersey, USA",40.7192571111111,-74.081619
14-264748,W,12/13/2014 19:02:51,12/13/2014 19:03:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,W107,"170 Jewett Ave, Jersey City, New Jersey, USA",40.723301,-74.0739787058824
14-266186,W,12/15/2014 21:57:10,12/15/2014 21:58:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,W103,"Bernius Ct & Virginia Ave, Jersey City, New Jersey, USA",,
14-266277,E,12/16/2014 01:22:46,12/16/2014 01:25:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,E401,"225 Grand St, Jersey City, New Jersey, USA",40.7158757142857,-74.0439442857143
14-267800,W,12/18/2014 03:22:47,12/18/2014 03:26:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,W301,"77 Corbin Ave, Jersey City, New Jersey, USA",40.7331774137931,-74.0711617586207
14-267805,E,12/18/2014 03:51:30,12/18/2014 03:52:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,E501,"6th St & Manila Ave, Jersey City, New Jersey, USA",,
14-267809,W,12/18/2014 04:01:05,12/18/2014 04:02:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,W501,"380 Union St, Jersey City, New Jersey, USA",40.7190194814815,-74.0846545308642
14-268989,N,12/20/2014 00:51:28,12/20/2014 00:52:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,N301,"118 Zabriskie St, Jersey City, New Jersey, USA",40.7473764285714,-74.0547958809524
14-269624,N,12/20/2014 22:17:29,12/20/2014 22:18:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,N403,"118 Zabriskie St, Jersey City, New Jersey, USA",40.7473764285714,-74.0547958809524
14-270298,W,12/22/2014 00:54:38,12/22/2014 00:55:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,W601,"298 Ege Ave, Jersey City, New Jersey, USA",40.7172502553192,-74.087694106383
14-270788,W,12/22/2014 19:12:36,12/22/2014 19:13:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,W503,"318 Union St, Jersey City, New Jersey, USA",40.7180094465668,-74.082946559131
14-272355,S,12/25/2014 05:56:16,12/25/2014 05:57:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,S401,"209.213 Danforth Ave, Jersey City, New Jersey, USA",40.7060955,-74.099619
14-272753,S,12/25/2014 21:51:43,12/25/2014 21:52:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,S403,"207 Custer Ave, Jersey City, New Jersey, USA",40.6937336232538,-74.0997457954267
14-272772,E,12/25/2014 22:34:58,12/25/2014 22:37:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,E603,"25 Gray St, Jersey City, New Jersey, USA",40.725247,-74.062321
14-274128,S,12/28/2014 09:49:18,12/28/2014 09:50:00,2,D21.00,HYDRANT PARKING VIOLATION,PH,7,S102,"132 Myrtle Ave, Jersey City, New Jersey, USA",40.7079999565217,-74.080194
14-274153,S,12/28/2014 10:55:12,12/28/2014 10:56:00,2,D21.00,HYDRANT PARKING VIOLATION,PH,7,S202,"Fowler Ave & Linden Ave, Jersey City, New Jersey, USA",,
14-275109,E,12/29/2014 23:01:42,12/29/2014 23:03:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,E203,"210.212 4th St, Jersey City, New Jersey, USA",40.724253,-74.0473459
